BOCH,Finance,Major Banks
VTHR,n/a,n/a
SGMO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ERII,Technology,Industrial Machinery/Components
JBHT,Transportation,Trucking Freight/Courier Services
ERIE,Finance,Specialty Insurers
ERIC,Technology,Radio And Television Broadcasting And Communications Equipment
NRCIB,Health Care,Biotechnology: Commercial Physical & Biological Resarch
PFPT,Technology,EDP Services
KOSS,Consumer Non-Durables,Consumer Electronics/Appliances
SCLN,Health Care,Major Pharmaceuticals
PHMD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PTNR,Public Utilities,Telecommunications Equipment
ALNY,Health Care,Major Pharmaceuticals
VRTS,Finance,Investment Managers
VRTU,Technology,EDP Services
ITUS,Miscellaneous,Multi-Sector Companies
ENDP,Health Care,Major Pharmaceuticals
GT,Consumer Durables,Automotive Aftermarket
CBLI,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MNKD,Health Care,Major Pharmaceuticals
OSBCP,Finance,Major Banks
RDWR,Miscellaneous,Business Services
MEIP,Health Care,Major Pharmaceuticals
JNP,Health Care,Major Pharmaceuticals
MAT,Consumer Non-Durables,Recreational Products/Toys
AXAS,Energy,Oil & Gas Production
EBMT,Finance,Major Banks
SNI,Consumer Services,Television Services
XRAY,Health Care,Medical/Dental Instruments
AMCN,Technology,Advertising
ACLS,Technology,Industrial Machinery/Components
JBSS,Consumer Non-Durables,Specialty Foods
EVK,Consumer Non-Durables,Apparel
CRTN,Consumer Services,Professional Services
GTIM,Consumer Services,Restaurants
TOPS,Transportation,Marine Transportation
BSRR,Finance,Major Banks
DSWL,Consumer Non-Durables,Plastic Products
ICUI,Health Care,Medical/Dental Instruments
IDCC,Miscellaneous,Multi-Sector Companies
GHDX,Health Care,Medical Specialities
TTS,Consumer Services,Home Furnishings
MBOT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PFIE,Energy,Metal Fabrications
RADA,Consumer Non-Durables,Electronic Components
WSBF,Finance,Savings Institutions
WSBC,Finance,Major Banks
USLV,Finance,Investment Bankers/Brokers/Service
PFIN,Technology,Industrial Machinery/Components
USLM,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CEVA,Technology,Semiconductors
BBOX,Technology,Computer Communications Equipment
PFIS,Finance,Major Banks
CPRX,Health Care,Major Pharmaceuticals
CPRT,Consumer Durables,Automotive Aftermarket
NAKD,Consumer Non-Durables,Apparel
SLRC,n/a,n/a
WPCS,Consumer Services,Telecommunications Equipment
FTCS,n/a,n/a
LPSN,Technology,Computer Software: Prepackaged Software
AVHI,Capital Goods,Homebuilding
APDN,Consumer Services,Other Consumer Services
CSX,Transportation,Railroads
WVVI,Consumer Non-Durables,Beverages (Production/Distribution)
SYPR,Capital Goods,Industrial Machinery/Components
WEBK,Finance,Banks
SPPI,Health Care,Major Pharmaceuticals
SPU,Consumer Non-Durables,Packaged Foods
STPP,Finance,Commercial Banks
CTG,Technology,EDP Services
LBAI,Finance,Major Banks
CCBG,Finance,Major Banks
RAVE,Consumer Non-Durables,Food Distributors
FJP,n/a,n/a
LJPC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VRTX,Health Care,Major Pharmaceuticals
WHF,n/a,n/a
SYMX,Basic Industries,Major Chemicals
VSEC,Consumer Services,Military/Government/Technical
ARTW,Capital Goods,Industrial Machinery/Components
KTOS,Capital Goods,Military/Government/Technical
ARTX,Miscellaneous,Industrial Machinery/Components
NAVG,Finance,Property-Casualty Insurers
PLW,n/a,n/a
TAST,Consumer Services,Restaurants
GOODP,Consumer Services,Real Estate
ATEC,Health Care,Medical/Dental Instruments
OFED,Finance,Savings Institutions
GOODO,Consumer Services,Real Estate
NTAP,Technology,Electronic Components
ZBRA,Technology,Industrial Machinery/Components
EVEP,Energy,Oil & Gas Production
ABAC,Consumer Non-Durables,Farming/Seeds/Milling
PSEC,n/a,n/a
VXUS,n/a,n/a
FARM,Consumer Non-Durables,Packaged Foods
FARO,Capital Goods,Industrial Machinery/Components
TQQQ,n/a,n/a
SIFI,Finance,Savings Institutions
FCBC,Finance,Major Banks
GBLI,Finance,Property-Casualty Insurers
COHR,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ABAX,Capital Goods,Industrial Machinery/Components
COHU,Capital Goods,Electrical Products
PLBC,Finance,Finance Companies
ONB,Finance,Major Banks
IRIX,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PGNX,Health Care,Major Pharmaceuticals
PTSI,Transportation,Trucking Freight/Courier Services
LTXB,Finance,Savings Institutions
MNDO,Technology,EDP Services
IIN,Capital Goods,Electrical Products
III,Consumer Services,Professional Services
CFBK,Finance,Savings Institutions
CNTF,n/a,n/a
FORM,Technology,Semiconductors
NTWK,Technology,Computer Software: Prepackaged Software
KEYW,Technology,EDP Services
FORD,Consumer Non-Durables,Plastic Products
NVGN,Health Care,Major Pharmaceuticals
HEAR,Consumer Durables,Telecommunications Equipment
ANTH,Health Care,Major Pharmaceuticals
FRGI,Consumer Services,Restaurants
FORR,Consumer Services,Diversified Commercial Services
CNTY,Consumer Services,Hotels/Resorts
OLBK,Finance,Major Banks
SNH,Consumer Services,Real Estate Investment Trusts
CALI,Consumer Services,Motor Vehicles
